,status,material_id,time
39129,,mp-569713,0.6827278137207031
41373,,mp-8013,0.6828899383544922
40299,,mp-1185037,0.6829118728637695
41117,,mp-1064843,0.6829183101654053
39418,,mp-2134,0.6831886768341064
43676,,mp-1184366,0.6832256317138672
29326,E,mp-472,0.6833760738372803
24797,,mp-980059,0.6833882331848145
34258,,mp-29009,0.6838288307189941
39509,,mp-1223202,0.6838505268096924
40727,,mp-1219490,0.6839520931243896
22759,E,mp-29234,0.6840307712554932
44351,E,mp-754632,0.6841557025909424
15983,E,mp-753163,0.6842732429504395
37422,,mp-867109,0.6843395233154297
24978,,mp-3895,0.6845245361328125
24582,,mp-972244,0.684539794921875
29464,,mp-30725,0.684579610824585
35608,E,mp-1025986,0.6847119331359863
33640,,mp-13452,0.6847527027130127
35433,x,mp-111,0.6847841739654541
17020,,mp-863701,0.6847949028015137
8345,,mp-1183441,0.6849596500396729
35652,,mp-1183902,0.6850528717041016
26672,,mp-1183554,0.6850719451904297
33542,,mp-1187821,0.6850824356079102
7817,E,mp-8612,0.6852262020111084
41560,,mp-1187326,0.6852328777313232
3923,E,mp-1017565,0.6852593421936035
23283,,mp-20595,0.6853220462799072
22437,,mp-1187211,0.6856236457824707
10153,,mp-29725,0.6856348514556885
16113,,mp-1215905,0.6857523918151855
8944,,mp-1007636,0.6859695911407471
41652,,mp-1215933,0.6861870288848877
29002,,mp-4771,0.6862540245056152
27894,,mp-1217887,0.6863448619842529
6349,,mp-20385,0.6863663196563721
18819,,mp-1178453,0.68644118309021
28116,,mp-1215592,0.686455249786377
32107,E,mp-1080077,0.6865224838256836
10932,E,mp-1025649,0.6867721080780029
26363,,mp-975769,0.686812162399292
4238,,mp-865753,0.6868972778320312
15447,,mp-1038814,0.6869604587554932
44034,,mp-1018086,0.6870462894439697
40505,,mp-1218938,0.6871933937072754
35963,,mp-1094666,0.6872472763061523
27729,,mp-866132,0.687267541885376
32617,,mp-1215275,0.6873733997344971
43440,,mp-1187169,0.6877224445343018
41676,,mp-1207090,0.6877820491790771
33319,E,mp-996968,0.6878700256347656
32644,E,mp-1078669,0.6879105567932129
9873,,mp-5318,0.6879143714904785
39726,E,mp-1183139,0.688201904296875
26473,,mp-979924,0.6882340908050537
36519,,mp-1001581,0.6884608268737793
22392,E,mp-10116,0.688551664352417
21678,,mp-1206636,0.6887202262878418
10941,,mp-1183995,0.6887245178222656
1648,,mp-1211,0.6887643337249756
42261,,mp-1187694,0.6887717247009277
30383,,mp-1223722,0.6888449192047119
41684,,mp-982065,0.6888494491577148
27463,,mp-1228016,0.6888494491577148
12460,E,mp-862685,0.6889657974243164
40654,,mp-973430,0.689171314239502
36822,,mp-1219928,0.6893906593322754
26636,E,mp-1224375,0.6896674633026123
17223,,mp-12360,0.6897919178009033
39626,,mp-865968,0.689810037612915
33285,,mp-1216352,0.6899561882019043
5844,E,mp-11534,0.6899874210357666
25145,,mp-867206,0.6901445388793945
15028,,mp-28638,0.6902875900268555
25994,,mp-1072824,0.6902964115142822
13497,,mp-1229041,0.6904122829437256
7319,E,mp-1018175,0.6904771327972412
18936,,mp-1069538,0.6906280517578125
39423,,mp-985443,0.690678596496582
38068,,mp-972088,0.6908798217773438
13965,,mp-1186151,0.6910245418548584
11025,E,mp-31220,0.6910600662231445
8260,,mp-998306,0.6911754608154297
14104,,mp-3448,0.6912112236022949
